x	y	label	key	showSelected1	group
20	-7	all times for region 6-23	all times for region 6-23	6-23	496
20	-7	all times for region 6-24	all times for region 6-24	6-24	497
20	-7	all times for region 6-3	all times for region 6-3	6-3	498
20	-7	all times for region 6-4	all times for region 6-4	6-4	499
20	-7	all times for region 6-5	all times for region 6-5	6-5	500
20	-7	all times for region 6-6	all times for region 6-6	6-6	501
20	-7	all times for region 6-7	all times for region 6-7	6-7	502
20	-7	all times for region 6-8	all times for region 6-8	6-8	503
20	-7	all times for region 6-9	all times for region 6-9	6-9	504
20	-7	all times for region 7-1	all times for region 7-1	7-1	505
20	-7	all times for region 7-10	all times for region 7-10	7-10	506
20	-7	all times for region 7-11	all times for region 7-11	7-11	507
20	-7	all times for region 7-12	all times for region 7-12	7-12	508
20	-7	all times for region 7-13	all times for region 7-13	7-13	509
20	-7	all times for region 7-14	all times for region 7-14	7-14	510
20	-7	all times for region 7-15	all times for region 7-15	7-15	511
20	-7	all times for region 7-16	all times for region 7-16	7-16	512
20	-7	all times for region 7-17	all times for region 7-17	7-17	513
20	-7	all times for region 7-18	all times for region 7-18	7-18	514
20	-7	all times for region 7-19	all times for region 7-19	7-19	515
20	-7	all times for region 7-2	all times for region 7-2	7-2	516
20	-7	all times for region 7-20	all times for region 7-20	7-20	517
20	-7	all times for region 7-21	all times for region 7-21	7-21	518
20	-7	all times for region 7-22	all times for region 7-22	7-22	519
20	-7	all times for region 7-23	all times for region 7-23	7-23	520
20	-7	all times for region 7-24	all times for region 7-24	7-24	521
20	-7	all times for region 7-3	all times for region 7-3	7-3	522
20	-7	all times for region 7-4	all times for region 7-4	7-4	523
20	-7	all times for region 7-5	all times for region 7-5	7-5	524
20	-7	all times for region 7-6	all times for region 7-6	7-6	525
20	-7	all times for region 7-7	all times for region 7-7	7-7	526
20	-7	all times for region 7-8	all times for region 7-8	7-8	527
20	-7	all times for region 7-9	all times for region 7-9	7-9	528
20	-7	all times for region 8-1	all times for region 8-1	8-1	529
20	-7	all times for region 8-10	all times for region 8-10	8-10	530
20	-7	all times for region 8-11	all times for region 8-11	8-11	531
20	-7	all times for region 8-12	all times for region 8-12	8-12	532
20	-7	all times for region 8-13	all times for region 8-13	8-13	533
20	-7	all times for region 8-14	all times for region 8-14	8-14	534
20	-7	all times for region 8-15	all times for region 8-15	8-15	535
20	-7	all times for region 8-16	all times for region 8-16	8-16	536
20	-7	all times for region 8-17	all times for region 8-17	8-17	537
20	-7	all times for region 8-18	all times for region 8-18	8-18	538
20	-7	all times for region 8-19	all times for region 8-19	8-19	539
20	-7	all times for region 8-2	all times for region 8-2	8-2	540
20	-7	all times for region 8-20	all times for region 8-20	8-20	541
20	-7	all times for region 8-21	all times for region 8-21	8-21	542
20	-7	all times for region 8-22	all times for region 8-22	8-22	543
20	-7	all times for region 8-23	all times for region 8-23	8-23	544
20	-7	all times for region 8-24	all times for region 8-24	8-24	545
20	-7	all times for region 8-3	all times for region 8-3	8-3	546
